,distance,pixel_i,pixel_j,patch_loc
228,0.022245908,8086.0,8191.0,3001120200000.0
229,0.0006134014,3859.0,8191.0,3001120200000.0
230,0.0,0.0,0.0,0.0
231,0.015305863,5730.0,0.0,3001120200000.0
232,0.008726935,4304.0,0.0,3001120200000.0
233,0.004390265,0.0,3923.0,3001120200000.0
234,0.024046179,0.0,7945.0,3001120200000.0
235,0.003046475,7553.0,8191.0,3001120200000.0
236,0.0016640472,4049.0,8191.0,3001120200000.0
237,0.0,0.0,0.0,0.0
238,0.022039145,1981.0,8191.0,3001120200000.0
239,0.010980277,2410.0,8191.0,3001120200000.0
240,0.014825239,0.0,7133.0,3001120200000.0
241,0.0142003745,137.0,2.0,3001120200000.0
242,0.004553473,8191.0,2825.0,3001120200000.0
243,0.009957633,12.0,0.0,3001120200000.0
244,0.018432733,0.0,432.0,3001120200000.0
245,0.00937621,8191.0,5124.0,3001120200000.0
246,0.008286186,0.0,852.0,3001120200000.0
247,3.07148e-05,7169.0,8189.0,3001120200000.0
248,0.0,3027.0,7331.0,3001120200000.0
249,0.004445701,246.0,8148.0,3001120200000.0
250,0.01736958,8191.0,7909.0,3001120200000.0
251,0.0114470925,0.0,4814.0,3001120200000.0
252,0.029413965,8086.0,8191.0,3001120200000.0
253,0.020044312,8191.0,7909.0,3001120200000.0
254,0.0,683.0,6402.0,3001120200000.0
255,0.00928251,0.0,852.0,3001120200000.0
256,0.0,607.0,2143.0,3001120200000.0
257,0.0,5428.0,321.0,3001120200000.0
258,0.00718623,0.0,4782.0,3001120200000.0
259,0.0006374802,5671.0,0.0,3001120200000.0
260,0.0001793249,5334.0,80.0,3001120200000.0
261,0.022709427,1975.0,8191.0,3001120200000.0
262,0.0073179044,5359.0,8191.0,3001120200000.0
263,0.009157233,8191.0,7608.0,3001120200000.0
264,0.014656466,0.0,3637.0,3001120200000.0
265,0.011799815,8191.0,3738.0,3001120200000.0
266,0.009143416,8191.0,7608.0,3001120200000.0
267,0.05212415,492.0,0.0,3001120200000.0
268,0.008776195,8191.0,101.0,3001120200000.0
269,0.0029019327,0.0,7230.0,3001120200000.0
270,0.017761743,4562.0,0.0,3001120200000.0
271,0.0,0.0,0.0,0.0
272,0.00011118078,3037.0,0.0,3001120200000.0
273,0.062412605,492.0,0.0,3001120200000.0
274,0.0026746993,7563.0,8191.0,3001120200000.0
275,0.00053453626,7307.0,8191.0,3001120200000.0
276,0.0075058686,0.0,5808.0,3001120200000.0
277,0.0050212136,535.0,0.0,3001120200000.0
278,0.0093625225,163.0,8191.0,3001120200000.0
279,0.009352214,8191.0,7013.0,3001120200000.0
280,0.0,558.0,1418.0,3001120200000.0
281,0.007097758,7553.0,8191.0,3001120200000.0
282,0.0,2016.0,611.0,3001120200000.0
283,0.0,0.0,0.0,0.0
284,0.029202208,8191.0,7903.0,3001120200000.0
285,0.06916193,0.0,453.0,3001120200000.0
286,0.011220247,163.0,8191.0,3001120200000.0
287,0.0,0.0,0.0,0.0
288,0.00082558574,6429.0,0.0,3001120200000.0
289,0.0,915.0,1133.0,3001120200000.0
290,0.01851611,8191.0,7909.0,3001120200000.0
291,0.009942225,12.0,0.0,3001120200000.0
292,0.009837477,0.0,852.0,3001120200000.0
293,0.00018896995,3037.0,0.0,3001120200000.0
294,0.02006731,427.0,0.0,3001120200000.0
295,0.0,5580.0,4688.0,3001120200000.0
296,0.015454041,8191.0,7909.0,3001120200000.0
297,7.4315e-05,0.0,5706.0,3001120200000.0
298,0.029706083,8191.0,7903.0,3001120200000.0
299,0.019127056,8153.0,8191.0,3001120200000.0
300,0.0006751116,5263.0,8191.0,3001120200000.0
301,0.008332445,8191.0,8173.0,3001120200000.0
302,0.013653694,0.0,1273.0,3001120200000.0
303,0.013383411,8176.0,5930.0,3001120200000.0
304,0.009256339,0.0,7119.0,3001120200000.0
305,0.0012704711,1306.0,0.0,3001120200000.0
306,0.009228625,8191.0,8173.0,3001120200000.0
307,0.0,1707.0,7078.0,3001120200000.0
308,0.015389865,8191.0,4311.0,3001120200000.0
309,0.038006824,88.0,8081.0,3001120200000.0
310,0.02877889,1603.0,0.0,3001120200000.0
311,0.020863436,0.0,689.0,3001120200000.0
312,0.0018903628,4051.0,8191.0,3001120200000.0
313,0.017590431,163.0,8191.0,3001120200000.0
314,0.0067302966,0.0,3938.0,3001120200000.0
315,0.012291004,8191.0,7909.0,3001120200000.0
316,0.0,0.0,0.0,0.0
317,0.0,590.0,2867.0,3001120200000.0
318,0.007765883,2666.0,0.0,3001120200000.0
319,0.016779229,8153.0,8191.0,3001120200000.0
320,0.009155263,333.0,8191.0,3001120200000.0
321,0.01403205,0.0,852.0,3001120200000.0
322,0.03551774,7003.0,8191.0,3001120200000.0
323,0.013724306,12.0,0.0,3001120200000.0
324,0.0010593706,56.0,3907.0,3001120200000.0
325,0.016205745,8191.0,8173.0,3001120200000.0
326,0.0036891082,1035.0,8177.0,3001120200000.0
327,0.0018399663,7577.0,8191.0,3001120200000.0
328,0.0019342187,0.0,8033.0,3001120200000.0
329,0.020690398,6280.0,8191.0,3001120200000.0
330,0.009137826,1035.0,8177.0,3001120200000.0
331,0.012437368,7391.0,0.0,3001120200000.0
332,0.018758297,0.0,7945.0,3001120200000.0
333,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0
335,0.023299998,2304.0,8191.0,3001120200000.0
336,0.023876183,8086.0,8191.0,3001120200000.0
337,0.019604262,8191.0,7903.0,3001120200000.0
338,0.008483124,4304.0,0.0,3001120200000.0
339,0.021384995,8086.0,8191.0,3001120200000.0
340,0.011405641,12.0,0.0,3001120200000.0
341,0.007768492,2023.0,10.0,3001120200000.0
342,0.023411302,8086.0,8191.0,3001120200000.0
343,0.014138549,8191.0,7909.0,3001120200000.0
344,0.0017713803,1125.0,8179.0,3001120200000.0
345,0.00050897506,2198.0,8191.0,3001120200000.0
346,7.897454e-05,6207.0,0.0,3001120200000.0
347,0.0065099564,1035.0,8177.0,3001120200000.0
348,0.0045544803,1035.0,8177.0,3001120200000.0
349,0.04663734,2771.0,0.0,3001120200000.0
350,0.00061856315,3695.0,0.0,3001120200000.0
351,0.0013340019,7786.0,6.0,3001120200000.0
352,0.016327279,8191.0,2083.0,3001120200000.0
353,0.0,3064.0,6474.0,3001120200000.0
354,0.013798532,8191.0,8173.0,3001120200000.0
355,0.0077371006,0.0,243.0,3001120200000.0
356,0.0015821257,6859.0,0.0,3001120200000.0
